Date,event,sex,Time,Wind,Auto,Athlete,Nationality,time_s,time_m,time_h,time_norm
1989-08-18,10000,m,00:27:08.23,NA,NA,Arturo Barrios ,Mexico,1628.23,27.137166666666666,0.4522861111111111,1.0364290260980267
1993-07-05,10000,m,00:27:07.91,NA,NA,Richard Chelimo ,Kenya,1627.91,27.131833333333336,0.45219722222222225,1.0362253341820498
1993-07-10,10000,m,00:26:58.38,NA,NA,Yobes Ondieki ,Kenya,1618.38,26.973000000000003,0.44955,1.0301591343093572
1994-07-22,10000,m,00:26:52.23,NA,NA,William Sigei ,Kenya,1612.23,26.8705,0.4478416666666667,1.0262444302991724
1995-06-05,10000,m,00:26:43.53,NA,NA,Haile Gebrselassie ,Ethiopia,1603.53,26.7255,0.445425,1.0207065563335456
1996-08-23,10000,m,00:26:38.08,NA,NA,Salah Hissou ,Morocco,1598.08,26.634666666666664,0.4439111111111111,1.0172374283895607
1997-07-04,10000,m,00:26:31.32,NA,NA,Haile Gebrselassie ,Ethiopia,1591.32,26.522,0.44203333333333333,1.0129344366645447
1997-08-22,10000,m,00:26:27.85,NA,NA,Paul Tergat ,Kenya,1587.85,26.464166666666664,0.4410694444444444,1.0107256524506683
1998-06-01,10000,m,00:26:22.75,NA,NA,Haile Gebrselassie ,Ethiopia,1582.75,26.379166666666666,0.4396527777777778,1.0074793125397836
2004-06-08,10000,m,00:26:20.31,NA,NA,Kenenisa Bekele ,Ethiopia,1580.31,26.3385,0.438975,1.0059261616804582
2005-08-26,10000,m,00:26:17.53,NA,NA,Kenenisa Bekele ,Ethiopia,1577.53,26.292166666666667,0.4382027777777778,1.0041565881604073
2020-10-07,10000,m,00:26:11.00,NA,NA,Joshua Cheptegei ,Uganda,1571,26.183333333333334,0.4363888888888889,1
1966-06-01,10000,w,00:39:25.00,NA,NA,Gertrud Schmidt ,Germany,2365,39.416666666666664,0.6569444444444444,1.3456997354121027
1966-06-02,10000,w,00:39:10.00,NA,NA,Hannelore Middeke ,Germany,2350,39.166666666666664,0.6527777777777778,1.3371646419528294
1967-03-26,10000,w,00:38:06.40,NA,NA,Ann O'Brien ,Ireland,2286.4,38.10666666666667,0.6351111111111112,1.3009758456855103
1970-05-09,10000,w,00:35:30.50,NA,NA,Paola Pigni ,Italy,2130.5,35.50833333333333,0.5918055555555556,1.2122677743321288
1971-06-12,10000,w,00:34:51.00,NA,NA,Kathy Gibbons ,United States of America,2091,34.85,0.5808333333333333,1.189792028222709
1975-03-29,10000,w,00:35:00.40,NA,NA,Julie Brown ,United States of America,2100.4,35.00666666666667,0.5834444444444444,1.1951406867905203
1975-08-20,10000,w,00:34:01.40,NA,NA,Christa Vahlensieck ,West Germany,2041.4,34.02333333333333,0.5670555555555555,1.161569319184045
1977-03-19,10000,w,00:33:34.17,NA,NA,Loa Olafsson ,Denmark,2014.17,33.5695,0.5594916666666667,1.1460752795243108
1977-06-09,10000,w,00:33:15.09,NA,NA,Peg Neppel ,United States of America,1995.09,33.2515,0.5541916666666666,1.135218640644115
1978-01-22,10000,w,00:32:43.20,NA,NA,Natalia Mărăşescu ,Romania,1963.2,32.72,0.5453333333333333,1.1170730319496998
1978-04-06,10000,w,00:31:45.40,NA,NA,Loa Olafsson ,Denmark,1905.4,31.756666666666668,0.5292777777777778,1.0841844718199665
1981-08-07,10000,w,00:32:30.80,NA,NA,Olga Krentser ,Soviet Union,1950.8,32.513333333333335,0.5418888888888889,1.1100173546900338
1981-10-19,10000,w,00:32:17.20,NA,NA,Yelena Sipatova ,Soviet Union,1937.2,32.28666666666667,0.5381111111111111,1.102278869953626
1982-07-16,10000,w,00:31:35.30,NA,NA,Mary Decker-Slaney ,United States of America,1895.3,31.58833333333333,0.5264722222222222,1.0784375088907223
1983-05-29,10000,w,00:31:35.01,NA,NA,Lyudmila Baranova ,Soviet Union,1895.01,31.5835,0.5263916666666667,1.078272497083843
1983-09-07,10000,w,00:31:27.58,NA,NA,Raisa Sadreydinova ,Soviet Union,1887.58,31.459666666666667,0.5243277777777777,1.0740447807903495
1984-06-24,10000,w,00:31:13.78,NA,NA,Olga Bondarenko ,Soviet Union,1873.78,31.229666666666667,0.5204944444444445,1.066192494807818
1985-07-27,10000,w,00:30:59.42,NA,NA,Ingrid Kristiansen ,Norway,1859.42,30.990333333333336,0.5165055555555556,1.0580215653361404
1986-07-05,10000,w,00:30:13.74,NA,NA,Ingrid Kristiansen ,Norway,1813.74,30.229,0.5038166666666667,1.0320293607214999
1993-09-08,10000,w,00:29:31.78,NA,NA,Wang Junxia ,China,1771.78,29.529666666666667,0.4921611111111111,1.0081538592847592
2016-08-12,10000,w,00:29:17.45,NA,NA,Almaz Ayana ,Ethiopia,1757.45,29.290833333333335,0.48818055555555556,1
1893-05-28,1500,m,00:04:21.00,NA,NA,Fernand Meiers ,France,261,4.35,0.0725,1.266990291262136
1894-07-22,1500,m,00:04:19.80,NA,NA,Felix Bourdier ,France,259.8,4.33,0.07216666666666667,1.2611650485436894
1895-05-12,1500,m,00:04:18.40,NA,NA,Albin Lermusiaux ,France,258.4,4.306666666666667,0.07177777777777777,1.254368932038835
1895-05-26,1500,m,00:04:16.80,NA,NA,Michel Soalhat ,France,256.8,4.28,0.07133333333333333,1.2466019417475729
1895-08-26,1500,m,00:04:15.60,NA,NA,Thomas Conneff ,United States of America,255.6,4.26,0.071,1.2407766990291262
1896-06-26,1500,m,00:04:10.40,NA,NA,Albin Lermusiaux ,France,250.4,4.173333333333334,0.06955555555555555,1.2155339805825243
1900-05-30,1500,m,00:04:09.00,NA,NA,John Bray ,United States of America,249,4.15,0.06916666666666667,1.2087378640776698
1900-07-15,1500,m,00:04:06.20,NA,NA,Charles Bennett ,United Kingdom,246.2,4.1033333333333335,0.06838888888888889,1.1951456310679611
1904-09-03,1500,m,00:04:05.40,NA,NA,James Lightbody ,United States of America,245.4,4.09,0.06816666666666667,1.19126213592233
1908-05-30,1500,m,00:03:59.80,NA,NA,Harold Wilson ,United Kingdom,239.8,3.996666666666667,0.06661111111111112,1.1640776699029127
1912-05-26,1500,m,00:03:59.20,NA,NA,Abel Kiviat ,United States of America,239.2,3.9866666666666664,0.06644444444444444,1.1611650485436893
1912-06-01,1500,m,00:03:56.80,NA,NA,Abel Kiviat ,United States of America,236.8,3.9466666666666668,0.06577777777777778,1.1495145631067962
1912-06-08,1500,m,00:03:55.80,NA,NA,Abel Kiviat ,United States of America,235.8,3.93,0.0655,1.1446601941747574
1917-08-05,1500,m,00:03:54.70,NA,NA,John Zander ,Sweden,234.7,3.9116666666666666,0.06519444444444444,1.1393203883495144
1924-06-19,1500,m,00:03:52.60,NA,NA,Paavo Nurmi ,Finland,232.6,3.8766666666666665,0.0646111111111111,1.129126213592233
1926-09-11,1500,m,00:03:51.00,NA,NA,Otto Peltzer ,Germany,231,3.85,0.06416666666666666,1.1213592233009708
1930-10-05,1500,m,00:03:49.20,NA,NA,Jules Ladoumegue ,France,229.2,3.82,0.06366666666666666,1.112621359223301
1933-09-09,1500,m,00:03:49.20,NA,NA,Luigi Beccali ,Italy,229.2,3.82,0.06366666666666666,1.112621359223301
1933-09-17,1500,m,00:03:49.00,NA,NA,Luigi Beccali ,Italy,229,3.816666666666667,0.0636111111111111,1.1116504854368932
1934-06-30,1500,m,00:03:48.80,NA,NA,Bill Bonthron ,United States of America,228.8,3.8133333333333335,0.06355555555555556,1.1106796116504856
1936-08-06,1500,m,00:03:47.80,NA,NA,Jack Lovelock ,New Zealand,227.8,3.796666666666667,0.06327777777777778,1.1058252427184467
1941-08-10,1500,m,00:03:47.60,NA,NA,Gunder Hägg ,Sweden,227.6,3.7933333333333334,0.06322222222222222,1.1048543689320387
1942-07-17,1500,m,00:03:45.80,NA,NA,Gunder Hägg ,Sweden,225.8,3.7633333333333336,0.06272222222222222,1.096116504854369
1943-08-17,1500,m,00:03:45.00,NA,NA,Arne Andersson ,Sweden,225,3.75,0.0625,1.0922330097087378
1944-07-07,1500,m,00:03:43.00,NA,NA,Gunder Hägg ,Sweden,223,3.716666666666667,0.06194444444444445,1.0825242718446602
1947-07-15,1500,m,00:03:43.00,NA,NA,Lennart Strand ,Sweden,223,3.716666666666667,0.06194444444444445,1.0825242718446602
1952-06-29,1500,m,00:03:43.00,NA,NA,Werner Lueg ,West Germany,223,3.716666666666667,0.06194444444444445,1.0825242718446602
1954-06-04,1500,m,00:03:42.80,NA,NA,Wes Santee ,United States of America,222.8,3.7133333333333334,0.06188888888888889,1.0815533980582526
1954-06-21,1500,m,00:03:41.80,NA,NA,John Landy ,Australia,221.8,3.6966666666666668,0.061611111111111116,1.0766990291262137
1955-07-28,1500,m,00:03:40.80,NA,NA,Sándor Iharos ,Hungary,220.8,3.68,0.06133333333333334,1.071844660194175
1955-09-06,1500,m,00:03:40.80,NA,NA,László Tábori ,Hungary,220.8,3.68,0.06133333333333334,1.071844660194175
1955-09-06,1500,m,00:03:40.80,NA,NA,Gunnar Nielsen ,Denmark,220.8,3.68,0.06133333333333334,1.071844660194175
1956-08-03,1500,m,00:03:40.60,NA,NA,István Rózsavölgyi ,Hungary,220.6,3.6766666666666667,0.06127777777777778,1.0708737864077669
1957-07-11,1500,m,00:03:40.20,NA,NA,Olavi Salsola ,Finland,220.2,3.67,0.06116666666666666,1.0689320388349515
1957-07-11,1500,m,00:03:40.20,NA,NA,Olavi Salonen ,Finland,220.2,3.67,0.06116666666666666,1.0689320388349515
1957-07-12,1500,m,00:03:38.10,NA,NA,Stanislav Jungwirth ,Czechoslovakia,218.1,3.635,0.06058333333333333,1.05873786407767
1958-08-28,1500,m,00:03:36.00,NA,NA,Herb Elliott ,Australia,216,3.6,0.06,1.0485436893203883
1960-09-06,1500,m,00:03:35.60,NA,NA,Herb Elliott ,Australia,215.6,3.5933333333333333,0.05988888888888889,1.0466019417475727
1967-07-08,1500,m,00:03:33.10,NA,NA,Jim Ryun ,United States of America,213.1,3.5516666666666667,0.059194444444444445,1.0344660194174757
1974-02-02,1500,m,00:03:32.20,NA,3:32.16,Filbert Bayi ,Tanzania,212.2,3.5366666666666666,0.05894444444444444,1.0300970873786408
1979-08-15,1500,m,00:03:32.10,NA,3:32.03,Sebastian Coe ,United Kingdom,212.1,3.5349999999999997,0.058916666666666666,1.029611650485437
1980-07-15,1500,m,00:03:32.10,NA,3:32.09,Steve Ovett ,United Kingdom,212.1,3.5349999999999997,0.058916666666666666,1.029611650485437
1980-08-27,1500,m,00:03:31.40,NA,3:31.36,Steve Ovett ,United Kingdom,211.4,3.5233333333333334,0.058722222222222224,1.0262135922330098
1983-08-28,1500,m,00:03:31.24,NA,NA,Sydney Maree ,United States of America,211.24,3.5206666666666666,0.05867777777777778,1.0254368932038835
1983-09-04,1500,m,00:03:30.77,NA,NA,Steve Ovett ,United Kingdom,210.77,3.5128333333333335,0.05854722222222222,1.0231553398058253
1985-07-16,1500,m,00:03:29.67,NA,NA,Steve Cram ,United Kingdom,209.67000000000002,3.4945000000000004,0.05824166666666667,1.0178155339805826
1985-08-23,1500,m,00:03:29.46,NA,NA,Saïd Aouita ,Morocco,209.46,3.491,0.05818333333333334,1.0167961165048545
1992-09-06,1500,m,00:03:28.86,NA,NA,Noureddine Morceli ,Algeria,208.86,3.4810000000000003,0.05801666666666667,1.013883495145631
1995-07-12,1500,m,00:03:27.37,NA,NA,Noureddine Morceli ,Algeria,207.37,3.456166666666667,0.05760277777777778,1.0066504854368932
1998-07-14,1500,m,00:03:26.00,NA,NA,Hicham El Guerrouj ,Morocco,206,3.433333333333333,0.05722222222222222,1
1927-08-19,1500,w,00:05:18.20,NA,NA,Anna Mushkina ,Soviet Union,318.2,5.303333333333333,0.08838888888888889,1.3830573303777112
1934-09-16,1500,w,00:05:07.00,NA,NA,Anna Mushkina ,Soviet Union,307,5.116666666666666,0.08527777777777777,1.334376494110488
1936-07-13,1500,w,00:05:02.00,NA,NA,Lydia Freiberg ,Soviet Union,302,5.033333333333333,0.08388888888888889,1.3126439779197636
1936-07-30,1500,w,00:04:47.20,NA,NA,Yevdokiya Vasilyeva ,Soviet Union,287.2,4.786666666666666,0.07977777777777778,1.2483157299952188
1937-09-13,1500,w,00:04:45.20,NA,NA,Yevdokiya Vasilyeva ,Soviet Union,285.2,4.753333333333333,0.07922222222222222,1.239622723518929
1940-06-10,1500,w,00:04:41.80,NA,NA,Anna Zaytseva-Bosenko ,Soviet Union,281.8,4.696666666666667,0.07827777777777778,1.2248446125092365
1944-08-17,1500,w,00:04:38.00,NA,NA,Yevdokiya Vasilyeva ,Soviet Union,278,4.633333333333334,0.07722222222222222,1.2083279002042857
1946-09-15,1500,w,00:04:37.80,NA,NA,Olga Ovsyannikova ,Soviet Union,277.8,4.63,0.07716666666666668,1.2074585995566567
1952-08-30,1500,w,00:04:37.00,NA,NA,Nina Pletnyova ,Soviet Union,277,4.616666666666666,0.07694444444444444,1.2039813969661408
1956-05-17,1500,w,00:04:35.40,NA,NA,Phyllis Perkins ,United Kingdom,275.4,4.59,0.0765,1.1970269917851089
1957-05-16,1500,w,00:04:30.00,NA,NA,Diane Leather ,United Kingdom,270,4.5,0.075,1.1735558742991263
1957-07-19,1500,w,00:04:29.70,NA,NA,Diane Leather ,United Kingdom,269.7,4.495,0.07491666666666666,1.172251923327683
1962-12-08,1500,w,00:04:19.00,NA,NA,Marise Chamberlain ,New Zealand,259,4.316666666666666,0.07194444444444445,1.1257443386795323
1967-06-03,1500,w,00:04:17.30,NA,NA,Anne Smith ,United Kingdom,257.3,4.288333333333333,0.07147222222222223,1.1183552831746861
1967-10-24,1500,w,00:04:15.60,NA,NA,Maria Gommers ,Netherlands,255.6,4.26,0.071,1.1109662276698395
1969-07-02,1500,w,00:04:12.40,NA,NA,Paola Pigni ,Italy,252.4,4.206666666666667,0.07011111111111111,1.097057417307776
1969-09-20,1500,w,00:04:10.70,NA,4:10.77,Jaroslava Jehličková ,Czechia,250.7,4.178333333333333,0.06963888888888889,1.0896683618029295
1971-08-15,1500,w,00:04:09.60,NA,4:09.62,Karin Burneleit ,East Germany,249.6,4.16,0.06933333333333333,1.0848872082409702
1972-07-18,1500,w,00:04:06.90,NA,NA,Ludmila Bragina ,Soviet Union,246.9,4.115,0.06858333333333333,1.073151649497979
1972-09-04,1500,w,00:04:06.50,NA,4:06.47,Ludmila Bragina ,Soviet Union,246.5,4.108333333333333,0.06847222222222223,1.0714130482027209
1972-09-07,1500,w,00:04:05.10,NA,4:05.07,Ludmila Bragina ,Soviet Union,245.1,4.085,0.06808333333333333,1.065327943669318
1972-09-09,1500,w,00:04:01.40,NA,4:01.38,Ludmila Bragina ,Soviet Union,241.4,4.023333333333333,0.06705555555555556,1.049245881688182
1976-06-28,1500,w,00:03:56.00,NA,NA,Tatyana Kazankina ,Soviet Union,236,3.933333333333333,0.06555555555555556,1.0257747642021993
1980-07-06,1500,w,00:03:55.00,NA,NA,Tatyana Kazankina ,Soviet Union,235,3.9166666666666665,0.06527777777777778,1.0214282609640544
1980-08-03,1500,w,00:03:52.47,NA,NA,Tatyana Kazankina ,Soviet Union,232.47,3.8745,0.064575,1.0104316077715478
1993-09-11,1500,w,00:03:50.46,NA,NA,Qu Yunxia ,China,230.46,3.841,0.06401666666666667,1.0016951362628765
2015-07-17,1500,w,00:03:50.07,NA,NA,Genzebe Dibaba ,Ethiopia,230.07,3.8345,0.06390833333333333,1
1897-10-31,5000,m,00:16:34.60,NA,NA,George Touquet-Daunis ,France,994.6,16.576666666666668,0.2762777777777778,1.3167231518746028
1899-05-22,5000,m,00:16:29.20,NA,NA,George Touquet-Daunis ,France,989.2,16.486666666666668,0.2747777777777778,1.309574242745181
1900-07-22,5000,m,00:15:29.80,NA,NA,Charles Bennett ,United Kingdom,929.8,15.496666666666666,0.2582777777777778,1.230936242321542
1904-06-13,5000,m,00:14:59.00,NA,NA,Alfred Shrubb ,United Kingdom,899,14.983333333333333,0.24972222222222223,1.190160982842618
1912-07-10,5000,m,00:14:36.60,NA,NA,Hannes Kolehmainen ,Finland,876.6,14.610000000000001,0.2435,1.160506248676128
1922-09-12,5000,m,00:14:35.40,NA,NA,Paavo Nurmi ,Finland,875.4,14.59,0.24316666666666667,1.158917602202923
1924-06-19,5000,m,00:14:28.20,NA,NA,Paavo Nurmi ,Finland,868.2,14.47,0.24116666666666667,1.1493857233636942
1932-06-19,5000,m,00:14:17.00,NA,NA,Lauri Lehtinen ,Finland,857,14.283333333333333,0.23805555555555555,1.134558356280449
1939-06-16,5000,m,00:14:08.80,NA,NA,Taisto Mäki ,Finland,848.8,14.146666666666667,0.23577777777777775,1.123702605380216
1942-09-20,5000,m,00:13:58.20,NA,NA,Gunder Hägg ,Sweden,838.2,13.97,0.23283333333333334,1.1096695615335734
1954-05-30,5000,m,00:13:57.20,NA,NA,Emil Zátopek ,Czechoslovakia,837.2,13.953333333333335,0.23255555555555557,1.1083456894725694
1954-08-29,5000,m,00:13:56.60,NA,NA,Vladimir Kuts ,Soviet Union,836.6,13.943333333333333,0.2323888888888889,1.107551366235967
1954-10-13,5000,m,00:13:51.60,NA,NA,Chris Chataway ,United Kingdom,831.6,13.860000000000001,0.231,1.1009320059309469
1954-10-23,5000,m,00:13:51.20,NA,NA,Vladimir Kuts ,Soviet Union,831.2,13.853333333333333,0.2308888888888889,1.1004024571065452
1955-09-10,5000,m,00:13:50.80,NA,NA,Sandor Iharos ,Hungary,830.8,13.846666666666666,0.23077777777777778,1.0998729082821435
1955-09-18,5000,m,00:13:46.80,NA,NA,Vladimir Kuts ,Soviet Union,826.8,13.78,0.22966666666666666,1.0945774200381275
1955-10-23,5000,m,00:13:40.60,NA,NA,Sandor Iharos ,Hungary,820.6,13.676666666666668,0.22794444444444445,1.0863694132599027
1956-06-19,5000,m,00:13:36.80,NA,NA,Gordon Pirie ,United Kingdom,816.8,13.613333333333333,0.2268888888888889,1.0813386994280871
1957-10-13,5000,m,00:13:35.00,NA,NA,Vladimir Kuts ,Soviet Union,815,13.583333333333334,0.2263888888888889,1.07895572971828
1965-01-16,5000,m,00:13:34.80,NA,NA,Ron Clarke ,Australia,814.8,13.58,0.22633333333333333,1.078690955306079
1965-02-01,5000,m,00:13:33.60,NA,NA,Ron Clarke ,Australia,813.6,13.56,0.226,1.0771023088328744
1965-06-04,5000,m,00:13:25.80,NA,NA,Ron Clarke ,Australia,805.8,13.43,0.22383333333333333,1.066776106757043
1965-11-30,5000,m,00:13:24.20,NA,NA,Kipchoge Keino ,Kenya,804.2,13.403333333333334,0.22338888888888891,1.0646579114594366
1966-07-05,5000,m,00:13:16.60,NA,NA,Ron Clarke ,Australia,796.6,13.276666666666667,0.2212777777777778,1.054596483795806
1972-09-14,5000,m,00:13:16.40,NA,NA,Lasse Virén ,Finland,796.4,13.273333333333333,0.2212222222222222,1.054331709383605
1972-09-20,5000,m,00:13:13.00,NA,NA,Emiel Puttemans ,Belgium,793,13.216666666666667,0.22027777777777777,1.0498305443761915
1977-07-05,5000,m,00:13:12.90,NA,NA,Dick Quax ,New Zealand,792.9,13.215,0.22025,1.049698157170091
1978-04-08,5000,m,00:13:08.40,NA,NA,Henry Rono ,Kenya,788.4,13.139999999999999,0.219,1.043740732895573
1981-09-13,5000,m,00:13:06.20,NA,NA,Henry Rono ,Kenya,786.2,13.103333333333333,0.2183888888888889,1.040828214361364
1982-07-07,5000,m,00:13:00.41,NA,NA,David Moorcroft ,United Kingdom,780.41,13.006833333333333,0.21678055555555556,1.0331629951281507
1985-07-22,5000,m,00:13:00.40,NA,NA,Saïd Aouita ,Morocco,780.4,13.006666666666666,0.21677777777777776,1.0331497564075407
1987-07-27,5000,m,00:12:58.39,NA,NA,Saïd Aouita ,Morocco,778.39,12.973166666666666,0.21621944444444444,1.0304887735649226
1994-06-04,5000,m,00:12:56.96,NA,NA,Haile Gebrselassie ,Ethiopia,776.96,12.949333333333334,0.21582222222222222,1.028595636517687
1995-06-08,5000,m,00:12:55.30,NA,NA,Moses Kiptanui ,Kenya,775.3,12.921666666666665,0.2153611111111111,1.0263980088964202
1995-08-16,5000,m,00:12:44.39,NA,NA,Haile Gebrselassie ,Ethiopia,764.39,12.739833333333333,0.21233055555555555,1.0119545647108663
1997-08-13,5000,m,00:12:41.86,NA,NA,Haile Gebrselassie ,Ethiopia,761.86,12.697666666666667,0.21162777777777778,1.0086051683965263
1997-08-22,5000,m,00:12:39.74,NA,NA,Daniel Komen ,Kenya,759.74,12.662333333333333,0.2110388888888889,1.0057985596271977
1998-06-13,5000,m,00:12:39.36,NA,NA,Haile Gebrselassie ,Ethiopia,759.36,12.656,0.21093333333333333,1.0052954882440162
2004-05-31,5000,m,00:12:37.35,NA,NA,Kenenisa Bekele ,Ethiopia,757.35,12.6225,0.210375,1.002634505401398
2020-08-14,5000,m,00:12:35.36,NA,NA,Joshua Cheptegei ,Uganda,755.36,12.589333333333334,0.20982222222222222,1
1969-05-11,5000,w,00:16:17.40,NA,NA,Paola Pigni ,Italy,977.4,16.29,0.2715,1.1544730811934516
1969-09-02,5000,w,00:15:53.60,NA,NA,Paola Pigni ,Italy,953.6,15.893333333333334,0.2648888888888889,1.1263612955044766
1977-03-16,5000,w,00:15:41.40,NA,NA,Natalia Mărășescu ,Romania,941.4,15.69,0.2615,1.111951052420212
1977-07-11,5000,w,00:15:37.00,NA,NA,Janice Merrill ,United States of America,937,15.616666666666667,0.2602777777777778,1.1067539155701496
1978-05-26,5000,w,00:15:35.52,NA,NA,Kathy Mills ,United States of America,935.52,15.592,0.25986666666666663,1.105005787720583
1979-05-19,5000,w,00:15:33.80,NA,NA,Janice Merrill ,United States of America,933.8,15.563333333333333,0.2593888888888889,1.1029741796791948
1980-03-22,5000,w,00:15:30.60,NA,NA,Janice Merrill ,United States of America,930.6,15.51,0.2585,1.0991944437882404
1981-07-11,5000,w,00:15:28.43,NA,NA,Ingrid Kristiansen ,Norway,928.43,15.473833333333333,0.2578972222222222,1.0966313103871865
1981-09-06,5000,w,00:15:24.60,NA,NA,Yelena Sipatova ,Soviet Union,924.6,15.41,0.25683333333333336,1.0921074389927004
1981-09-13,5000,w,00:15:14.51,NA,NA,Paula Fudge ,United Kingdom,914.51,15.241833333333334,0.25403055555555554,1.080189459261534
1982-03-17,5000,w,00:15:13.22,NA,NA,Anne Audain ,New Zealand,913.22,15.220333333333334,0.25367222222222224,1.078665753230493
1982-07-05,5000,w,00:15:08.26,NA,NA,Mary Decker-Slaney ,United States of America,908.26,15.137666666666666,0.25229444444444443,1.0728071625995133
1984-06-28,5000,w,00:14:58.89,NA,NA,Ingrid Kristiansen ,Norway,898.89,14.9815,0.24969166666666667,1.061739623443812
1985-08-26,5000,w,00:14:48.07,NA,NA,Zola Budd ,United Kingdom,888.07,14.801166666666667,0.24668611111111113,1.0489593914625217
1986-08-05,5000,w,00:14:37.33,NA,NA,Ingrid Kristiansen ,Norway,877.33,14.622166666666667,0.2437027777777778,1.0362736528785053
1995-07-22,5000,w,00:14:36.45,NA,NA,Fernanda Ribeiro ,Portugal,876.45,14.6075,0.24345833333333333,1.0352342255084925
1997-10-21,5000,w,00:14:31.27,NA,NA,Dong Yanmei ,China,871.27,14.521166666666666,0.24201944444444443,1.0291157780350098
1997-10-23,5000,w,00:14:28.09,NA,NA,Jiang Bo ,China,868.09,14.468166666666667,0.2411361111111111,1.0253596654933737
2004-06-11,5000,w,00:14:24.68,NA,NA,Elvan Abeylegesse ,Turkey,864.68,14.411333333333333,0.24018888888888887,1.0213318844345751
2006-06-03,5000,w,00:14:24.53,NA,NA,Meseret Defar ,Ethiopia,864.53,14.408833333333332,0.2401472222222222,1.0211547093146867
2007-06-15,5000,w,00:14:16.63,NA,NA,Meseret Defar ,Ethiopia,856.63,14.277166666666666,0.23795277777777776,1.0118234863338924
2008-06-06,5000,w,00:14:11.15,NA,NA,Tirunesh Dibaba ,Ethiopia,851.15,14.185833333333333,0.23643055555555556,1.0053506886206327
2020-10-07,5000,w,00:14:06.62,NA,NA,Letesenbet Gidey ,Ethiopia,846.62,14.110333333333333,0.23517222222222223,1
